Frequency (Hz)	Level (dB)
43.066406	-48.713169
86.132813	-61.671249
129.199219	-68.489685
172.265625	-68.365326
215.332031	-66.684837
258.398438	-65.453117
301.464844	-64.998474
344.531250	-65.051651
387.597656	-65.315742
430.664063	-65.345215
473.730469	-65.188896
516.796875	-65.027756
559.863281	-64.991127
602.929688	-64.851257
645.996094	-64.655777
689.062500	-64.656723
732.128906	-64.466133
775.195313	-64.348038
818.261719	-64.298233
861.328125	-64.248901
904.394531	-64.132957
947.460938	-64.072906
990.527344	-64.036636
1033.593750	-64.062874
1076.660156	-64.070488
1119.726563	-64.013702
1162.792969	-64.004135
1205.859375	-63.892624
1248.925781	-64.014374
1291.992188	-64.056076
1335.058594	-63.949593
1378.125000	-63.949402
1421.191406	-63.974815
1464.257813	-63.984039
1507.324219	-64.020790
1550.390625	-63.962872
1593.457031	-63.943073
1636.523438	-64.113152
1679.589844	-64.107262
1722.656250	-64.011795
1765.722656	-64.064705
1808.789063	-64.037308
1851.855469	-63.883614
1894.921875	-63.177483
1937.988281	-62.443130
1981.054688	-60.750202
2024.121094	-59.849598
2067.187500	-59.360378
2110.253906	-57.797802
2153.320313	-56.164612
2196.386719	-56.377094
2239.453125	-55.207512
2282.519531	-55.886433
2325.585938	-56.229485
2368.652344	-52.398884
2411.718750	-49.376030
2454.785156	-48.647999
2497.851563	-49.160049
2540.917969	-49.986000
2583.984375	-50.332298
2627.050781	-48.843956
2670.117188	-48.554150
2713.183594	-50.686298
2756.250000	-49.902275
2799.316406	-48.450687
2842.382813	-50.543316
2885.449219	-51.408989
2928.515625	-49.890720
2971.582031	-51.620739
3014.648438	-54.361115
3057.714844	-53.216515
3100.781250	-52.284451
3143.847656	-53.265026
3186.914063	-52.884998
3229.980469	-53.984280
3273.046875	-55.969528
3316.113281	-57.194462
3359.179688	-58.973728
3402.246094	-58.796627
3445.312500	-57.977478
3488.378906	-58.354874
3531.445313	-58.894615
3574.511719	-59.784386
3617.578125	-60.809662
3660.644531	-62.897282
3703.710938	-61.856663
3746.777344	-61.544445
3789.843750	-62.622921
3832.910156	-64.065353
3875.976563	-64.821236
3919.042969	-65.172577
3962.109375	-65.032753
4005.175781	-64.556854
4048.242188	-64.703064
4091.308594	-64.568726
4134.375000	-65.159355
4177.441406	-65.279884
4220.507813	-64.572502
4263.574219	-65.363808
4306.640625	-66.108162
4349.707031	-66.327812
4392.773438	-66.023651
4435.839844	-65.967957
4478.906250	-65.322655
4521.972656	-64.154572
4565.039063	-63.395813
4608.105469	-64.076813
4651.171875	-65.281708
4694.238281	-65.914490
4737.304688	-65.790825
4780.371094	-63.944748
4823.437500	-62.946980
4866.503906	-64.022240
4909.570313	-64.550644
4952.636719	-63.864758
4995.703125	-63.355488
5038.769531	-63.699265
5081.835938	-63.320923
5124.902344	-64.371071
5167.968750	-65.458839
5211.035156	-65.912056
5254.101563	-65.632500
5297.167969	-64.587204
5340.234375	-62.359081
5383.300781	-59.134975
5426.367188	-59.786633
5469.433594	-63.583469
5512.500000	-65.112602
5555.566406	-64.241104
5598.632813	-63.493118
5641.699219	-63.235542
5684.765625	-63.818039
5727.832031	-64.945831
5770.898438	-64.795303
5813.964844	-65.929398
5857.031250	-65.631386
5900.097656	-65.182579
5943.164063	-64.364700
5986.230469	-65.589653
6029.296875	-66.619514
6072.363281	-65.679070
6115.429688	-65.531525
6158.496094	-66.744606
6201.562500	-67.226021
6244.628906	-67.087067
6287.695313	-67.557625
6330.761719	-68.038582
6373.828125	-67.801254
6416.894531	-68.054550
6459.960938	-67.955864
6503.027344	-68.085922
6546.093750	-68.053955
6589.160156	-68.269646
6632.226563	-68.325310
6675.292969	-67.588829
6718.359375	-65.848358
6761.425781	-65.844437
6804.492188	-66.988007
6847.558594	-67.204323
6890.625000	-67.720573
6933.691406	-67.893303
6976.757813	-67.656784
7019.824219	-68.086769
7062.890625	-68.293686
7105.957031	-67.656693
7149.023438	-67.849068
7192.089844	-66.931915
7235.156250	-66.741516
7278.222656	-67.454735
7321.289063	-67.794769
7364.355469	-68.380295
7407.421875	-69.349854
7450.488281	-69.535110
7493.554688	-69.436134
7536.621094	-69.570267
7579.687500	-69.397491
7622.753906	-69.475426
7665.820313	-69.661270
7708.886719	-69.148193
7751.953125	-69.012321
7795.019531	-69.145073
7838.085938	-69.063545
7881.152344	-69.524879
7924.218750	-70.104012
7967.285156	-70.589516
8010.351563	-70.588982
8053.417969	-70.445816
8096.484375	-70.493454
8139.550781	-70.499344
8182.617188	-70.799965
8225.683594	-70.960129
8268.750000	-70.924057
8311.816406	-71.068756
8354.882813	-71.052628
8397.949219	-71.054871
8441.015625	-71.063461
8484.082031	-71.395622
8527.148438	-71.328339
8570.214844	-71.385422
8613.281250	-71.470604
8656.347656	-71.413551
8699.414063	-71.501839
8742.480469	-71.494057
8785.546875	-71.422150
8828.613281	-71.404259
8871.679688	-71.486115
8914.746094	-71.509315
8957.812500	-71.796837
9000.878906	-71.803329
9043.945313	-71.717545
9087.011719	-71.833473
9130.078125	-71.936378
9173.144531	-71.985062
9216.210938	-71.989952
9259.277344	-72.025261
9302.343750	-72.109039
9345.410156	-72.109085
9388.476563	-72.100098
9431.542969	-72.132240
9474.609375	-72.068680
9517.675781	-72.246094
9560.742188	-72.278984
9603.808594	-72.295151
9646.875000	-72.464043
9689.941406	-72.352875
9733.007813	-72.321587
9776.074219	-72.449226
9819.140625	-72.567429
9862.207031	-72.638214
9905.273438	-72.867104
9948.339844	-72.661652
9991.406250	-72.660843
10034.472656	-72.611893
10077.539063	-72.734398
10120.605469	-72.704704
10163.671875	-72.756599
10206.738281	-72.796356
10249.804688	-72.841225
10292.871094	-72.825974
10335.937500	-72.987350
10379.003906	-73.042366
10422.070313	-72.923454
10465.136719	-72.855438
10508.203125	-72.929932
10551.269531	-72.997299
10594.335938	-73.214340
10637.402344	-73.261253
10680.468750	-73.221809
10723.535156	-73.295349
10766.601563	-73.309853
10809.667969	-73.316261
10852.734375	-73.314926
10895.800781	-73.540749
10938.867188	-73.584930
10981.933594	-73.462143
11025.000000	-73.383774
11068.066406	-73.475418
11111.132813	-73.483124
11154.199219	-73.579437
11197.265625	-73.662430
11240.332031	-73.609764
11283.398438	-73.749687
11326.464844	-73.616783
11369.531250	-73.692604
11412.597656	-73.651505
11455.664063	-73.693848
11498.730469	-73.672592
11541.796875	-73.670738
11584.863281	-73.802658
11627.929688	-73.920876
11670.996094	-73.851128
11714.062500	-73.793785
11757.128906	-73.824738
11800.195313	-73.876862
11843.261719	-74.112030
11886.328125	-74.009346
11929.394531	-73.945503
11972.460938	-74.088928
12015.527344	-74.122093
12058.593750	-74.038170
12101.660156	-74.013748
12144.726563	-74.047188
12187.792969	-74.183495
12230.859375	-74.145767
12273.925781	-74.055237
12316.992188	-74.186226
12360.058594	-74.300713
12403.125000	-74.342331
12446.191406	-74.272339
12489.257813	-74.342819
12532.324219	-74.372925
12575.390625	-74.310684
12618.457031	-74.322212
12661.523438	-74.542747
12704.589844	-74.498093
12747.656250	-74.455208
12790.722656	-74.445259
12833.789063	-74.589882
12876.855469	-74.802696
